"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","3","1.2","0.5","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","3","1.8","0.4","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","1","4","3.0","0.4","3.0","0.0"
"4","Julio Jones","ATL","WR2","5","3","14","5.4","2.0","4.0","0.0"
"5","Odell Beckham Jr.","NYG","WR3","8","4","10","5.6","1.1","5.0","0.0"
"6","LeSean McCoy","BUF","RB3","6","3","30","7.0","3.8","6.0","0.0"
"7","A.J. Green","CIN","WR4","6","5","17","8.6","2.7","8.0","+1.0"
"8","Mike Evans","TB","WR5","11","4","16","8.8","2.6","7.0","-1.0"
"9","Melvin Gordon","LAC","RB4","9","4","19","9.4","3.2","10.0","+1.0"
"10","Devonta Freeman","ATL","RB5","5","4","27","9.5","3.4","9.0","-1.0"
"11","Jordy Nelson","GB","WR6","8","5","22","10.7","3.2","11.0","0.0"
"12","DeMarco Murray","TEN","RB6","8","8","48","14.2","5.3","13.0","+1.0"
"13","Jay Ajayi","MIA","RB7","11","4","39","14.9","5.8","15.0","+2.0"
"14","Michael Thomas","NO","WR7","5","6","19","12.9","2.7","12.0","-2.0"
"15","Jordan Howard","CHI","RB8","9","8","41","15.5","5.9","14.0","-1.0"
"16","Doug Baldwin","SEA","WR8","6","12","41","19.1","4.2","22.0","+6.0"
"17","Dez Bryant","DAL","WR9","6","10","36","19.4","5.3","17.0","0.0"
"18","Amari Cooper","OAK","WR10","10","10","45","19.8","4.6","19.0","+1.0"
"19","Todd Gurley","LAR","RB9","8","9","53","21.0","7.1","18.0","-1.0"
"20","T.Y. Hilton","IND","WR11","11","11","43","21.8","6.3","21.0","+1.0"
"21","Brandin Cooks","NE","WR12","9","11","71","22.2","10.0","24.0","+3.0"
"22","Rob Gronkowski","NE","TE1","9","13","88","23.3","10.5","20.0","-2.0"
"23","Demaryius Thomas","DEN","WR13","5","15","48","25.0","6.0","29.0","+6.0"
"24","DeAndre Hopkins","HOU","WR14","7","16","47","26.4","6.4","27.0","+3.0"
"25","Keenan Allen","LAC","WR15","9","13","72","31.3","9.9","32.0","+7.0"
"26","Isaiah Crowell","CLE","RB10","9","15","61","31.5","9.1","33.0","+7.0"
"27","Leonard Fournette","JAC","RB11","8","12","81","32.4","12.4","25.0","-2.0"
"28","Ezekiel Elliott","DAL","RB12","6","4","121","33.9","16.4","16.0","-12.0"
"29","Travis Kelce","KC","TE2","10","21","57","34.9","6.9","34.0","+5.0"
"30","Lamar Miller","HOU","RB13","7","11","107","35.2","14.4","28.0","-2.0"
"31","Terrelle Pryor","WAS","WR16","5","19","80","35.9","13.1","31.0","0.0"
"32","Alshon Jeffery","PHI","WR17","10","18","75","37.1","10.4","37.0","+5.0"
"33","Larry Fitzgerald","ARI","WR18","8","8","98","38.5","12.8","47.0","+14.0"
"34","Golden Tate","DET","WR19","7","20","83","38.5","11.4","46.0","+12.0"
"35","Allen Robinson","JAC","WR20","8","20","71","39.1","10.7","45.0","+10.0"
"36","Michael Crabtree","OAK","WR21","10","24","72","39.1","9.9","39.0","+3.0"
"37","Christian McCaffrey","CAR","RB14","11","15","100","39.9","15.6","26.0","-11.0"
"38","Dalvin Cook","MIN","RB15","9","11","108","40.4","17.1","35.0","-3.0"
"39","Aaron Rodgers","GB","QB1","8","31","200","38.7","18.9","23.0","-16.0"
"40","Davante Adams","GB","WR22","8","16","86","41.7","14.1","38.0","-2.0"
"41","Ty Montgomery","GB","RB16","8","15","155","43.4","19.2","41.0","0.0"
"42","Tom Brady","NE","QB2","9","32","59","40.8","5.6","30.0","-12.0"
"43","Marshawn Lynch","OAK","RB17","10","24","99","45.1","15.3","36.0","-7.0"
"44","Carlos Hyde","SF","RB18","11","17","129","46.4","14.7","44.0","0.0"
"45","Jarvis Landry","MIA","WR23","11","14","86","47.6","16.0","43.0","-2.0"
"46","Greg Olsen","CAR","TE3","11","26","66","48.1","6.4","48.0","+2.0"
"47","Kareem Hunt","KC","RB19","10","15","129","49.4","27.1","68.0","+21.0"
"48","Drew Brees","NO","QB3","5","35","68","47.3","6.3","42.0","-6.0"
"49","Jordan Reed","WAS","TE4","5","30","109","51.9","13.4","50.0","+1.0"
"50","Stefon Diggs","MIN","WR24","9","20","83","53.2","15.5","55.0","+5.0"
"51","Mark Ingram","NO","RB20","5","12","96","53.9","13.7","54.0","+3.0"
"52","Joe Mixon","CIN","RB21","6","20","151","54.4","19.6","40.0","-12.0"
"53","Emmanuel Sanders","DEN","WR25","5","32","107","54.9","14.4","58.0","+5.0"
"54","Bilal Powell","NYJ","RB22","11","17","106","55.2","14.1","59.0","+5.0"
"55","Sammy Watkins","LAR","WR26","8","24","107","55.4","17.5","52.0","-3.0"
"56","Tyreek Hill","KC","WR27","10","9","138","55.6","16.8","49.0","-7.0"
"57","Danny Woodhead","BAL","RB23","10","12","165","56.7","20.5","61.0","+4.0"
"58","Jamison Crowder","WAS","WR28","5","28","106","57.1","15.5","62.0","+4.0"
"59","C.J. Anderson","DEN","RB24","5","23","126","59.7","16.1","60.0","+1.0"
"60","Jimmy Graham","SEA","TE5","6","39","103","60.7","12.6","57.0","-3.0"
"61","Martavis Bryant","PIT","WR29","9","33","126","63.4","17.1","51.0","-10.0"
"62","Kelvin Benjamin","CAR","WR30","11","25","119","66.1","16.2","53.0","-9.0"
"63","Russell Wilson","SEA","QB4","6","37","99","63.1","11.5","64.0","+1.0"
"64","Ameer Abdullah","DET","RB25","7","34","157","66.7","18.5","63.0","-1.0"
"65","Willie Snead","NO","WR31","5","40","105","68.0","13.4","65.0","0.0"
"66","Matt Ryan","ATL","QB5","5","37","127","65.1","14.4","56.0","-10.0"
"67","Pierre Garcon","SF","WR32","11","24","153","68.7","19.5","71.0","+4.0"
"68","Tevin Coleman","ATL","RB26","5","27","102","69.8","13.3","67.0","-1.0"
"69","Brandon Marshall","NYG","WR33","8","31","137","73.2","17.4","66.0","-3.0"
"70","Kyle Rudolph","MIN","TE6","9","34","127","74.5","15.7","69.0","-1.0"
"71","Tyler Eifert","CIN","TE7","6","33","131","76.8","17.2","75.0","+4.0"
"72","Frank Gore","IND","RB27","11","26","140","77.4","17.7","76.0","+4.0"
"73","Jeremy Maclin","BAL","WR34","10","38","128","76.1","16.3","88.0","+15.0"
"74","Theo Riddick","DET","RB28","7","41","207","80.1","22.6","79.0","+5.0"
"75","Kirk Cousins","WAS","QB6","5","50","149","77.5","16.8","82.0","+7.0"
"76","Devante Parker","MIA","WR35","11","49","132","81.3","16.9","70.0","-6.0"
"77","Zach Ertz","PHI","TE8","10","25","128","83.3","17.7","81.0","+4.0"
"78","Andrew Luck","IND","QB7","11","37","153","80.9","23.6","83.0","+5.0"
"79","Mike Gillislee","NE","RB29","9","42","149","84.1","19.5","72.0","-7.0"
"80","Delanie Walker","TEN","TE9","8","16","121","86.5","15.9","74.0","-6.0"
"81","Marcus Mariota","TEN","QB8","8","54","163","82.4","18.7","86.0","+5.0"
"82","Donte Moncrief","IND","WR36","11","36","135","87.2","19.4","85.0","+3.0"
"83","DeSean Jackson","TB","WR37","11","59","145","87.1","14.2","87.0","+4.0"
"84","Doug Martin","TB","RB30","11","44","158","90.1","24.9","77.0","-7.0"
"85","Jameis Winston","TB","QB9","11","54","149","87.5","18.2","78.0","-7.0"
"86","Duke Johnson","CLE","RB31","9","33","218","89.6","23.5","96.0","+10.0"
"87","Tyrell Williams","LAC","WR38","9","36","129","90.2","19.9","98.0","+11.0"
"88","Cam Newton","CAR","QB10","11","54","135","87.3","17.4","91.0","+3.0"
"89","Adrian Peterson","NO","RB32","5","44","178","92.5","23.6","73.0","-16.0"
"90","Eric Decker","TEN","WR39","8","47","142","92.5","16.6","92.0","+2.0"
"91","Paul Perkins","NYG","RB33","8","40","236","94.6","27.7","80.0","-11.0"
"92","Terrance West","BAL","RB34","10","37","232","93.9","27.1","99.0","+7.0"
"93","Kenny Britt","CLE","WR40","9","44","242","98.9","23.4","104.0","+11.0"
"94","Randall Cobb","GB","WR41","8","63","169","97.1","18.3","94.0","0.0"
"95","Martellus Bennett","GB","TE10","8","46","141","99.1","16.2","90.0","-5.0"
"96","Derek Carr","OAK","QB11","10","58","148","99.1","19.1","84.0","-12.0"
"97","Jordan Matthews","BUF","WR42","6","40","170","100.7","21.8","112.0","+15.0"
"98","Adam Thielen","MIN","WR43","9","75","156","101.3","15.9","101.0","+3.0"
"99","Ben Roethlisberger","PIT","QB12","9","54","154","99.5","22.1","102.0","+3.0"
"100","James White","NE","RB35","9","60","180","104.9","24.0","107.0","+7.0"
"101","Eric Ebron","DET","TE11","7","63","152","105.2","19.1","115.0","+14.0"
"102","Mike Wallace","BAL","WR44","10","55","212","105.5","22.7","110.0","+8.0"
"103","Robert Kelley","WAS","RB36","5","39","165","106.6","27.7","97.0","-6.0"
"104","Dak Prescott","DAL","QB13","6","63","151","105.1","17.3","105.0","+1.0"
"105","Philip Rivers","LAC","QB14","9","58","173","106.4","20.5","116.0","+11.0"
"106","Corey Coleman","CLE","WR45","9","78","166","109.0","16.6","106.0","0.0"
"107","Matthew Stafford","DET","QB15","7","58","159","109.0","20.2","109.0","+2.0"
"108","Hunter Henry","LAC","TE12","9","66","162","113.4","17.7","100.0","-8.0"
"109","Derrick Henry","TEN","RB37","8","75","165","112.5","22.3","89.0","-20.0"
"110","Eddie Lacy","SEA","RB38","6","50","213","112.7","33.5","93.0","-17.0"
"111","C.J. Prosise","SEA","RB39","6","56","221","110.8","26.9","118.0","+7.0"
"112","Darren Sproles","PHI","RB40","10","53","246","113.8","36.9","120.0","+8.0"
"113","Matt Forte","NYJ","RB41","11","46","216","113.9","26.6","114.0","+1.0"
"114","Jack Doyle","IND","TE13","11","62","248","116.7","23.5","122.0","+8.0"
"115","LeGarrette Blount","PHI","RB42","10","56","216","116.9","29.4","95.0","-20.0"
"116","John Brown","ARI","WR46","8","69","195","116.0","26.6","123.0","+7.0"
"117","Rishard Matthews","TEN","WR47","8","67","202","116.6","24.5","119.0","+2.0"
"118","Jonathan Stewart","CAR","RB43","11","42","208","122.2","25.6","117.0","-1.0"
"119","Marvin Jones","DET","WR48","7","63","222","120.9","23.9","111.0","-8.0"
"120","Andy Dalton","CIN","QB16","6","79","179","120.9","18.9","131.0","+11.0"
