"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","8","1.4","0.9","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","12","2.0","1.5","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","1","5","3.1","0.5","3.0","0.0"
"4","Odell Beckham Jr.","NYG","WR2","8","3","7","5.1","0.8","5.0","+1.0"
"5","Julio Jones","ATL","WR3","5","3","13","5.7","2.0","4.0","-1.0"
"6","LeSean McCoy","BUF","RB3","6","3","13","6.1","2.3","6.0","0.0"
"7","A.J. Green","CIN","WR4","6","5","14","8.7","2.5","8.0","+1.0"
"8","Mike Evans","TB","WR5","11","4","15","9.1","2.8","7.0","-1.0"
"9","Devonta Freeman","ATL","RB4","5","1","17","9.2","2.3","9.0","0.0"
"10","Melvin Gordon","LAC","RB5","9","4","19","9.6","3.1","10.0","0.0"
"11","Jordy Nelson","GB","WR6","8","5","22","11.1","3.1","11.0","0.0"
"12","DeMarco Murray","TEN","RB6","8","8","27","13.9","3.8","13.0","+1.0"
"13","Jordan Howard","CHI","RB7","9","9","39","14.9","5.0","14.0","+1.0"
"14","Michael Thomas","NO","WR7","5","7","18","12.8","2.3","12.0","-2.0"
"15","Jay Ajayi","MIA","RB8","11","4","58","15.5","7.6","16.0","+1.0"
"16","T.Y. Hilton","IND","WR8","11","9","38","18.6","4.9","17.0","+1.0"
"17","Dez Bryant","DAL","WR9","6","10","39","19.2","5.0","19.0","+2.0"
"18","Doug Baldwin","SEA","WR10","6","12","31","19.3","3.3","24.0","+6.0"
"19","Amari Cooper","OAK","WR11","10","11","46","19.9","4.7","18.0","-1.0"
"20","Todd Gurley","LAR","RB9","8","11","52","22.0","6.9","20.0","0.0"
"21","Rob Gronkowski","NE","TE1","9","13","66","23.1","8.3","21.0","0.0"
"22","Demaryius Thomas","DEN","WR12","5","16","48","24.9","6.2","28.0","+6.0"
"23","DeAndre Hopkins","HOU","WR13","7","8","43","25.4","6.3","26.0","+3.0"
"24","Leonard Fournette","JAC","RB10","8","11","70","27.2","9.9","22.0","-2.0"
"25","Brandin Cooks","NE","WR14","9","15","62","28.0","10.0","25.0","0.0"
"26","Isaiah Crowell","CLE","RB11","9","15","64","29.8","8.8","32.0","+6.0"
"27","Keenan Allen","LAC","WR15","9","13","114","33.0","13.8","30.0","+3.0"
"28","Lamar Miller","HOU","RB12","7","15","103","33.7","12.3","27.0","-1.0"
"29","Ezekiel Elliott","DAL","RB13","6","4","78","34.2","13.3","15.0","-14.0"
"30","Travis Kelce","KC","TE2","10","21","57","35.7","7.4","34.0","+4.0"
"31","Terrelle Pryor","WAS","WR16","5","19","89","35.9","13.0","31.0","0.0"
"32","Allen Robinson","JAC","WR17","8","20","68","36.5","9.6","37.0","+5.0"
"33","Alshon Jeffery","PHI","WR18","10","18","73","37.3","10.0","36.0","+3.0"
"34","Aaron Rodgers","GB","QB1","8","28","200","38.3","19.4","23.0","-11.0"
"35","Golden Tate","DET","WR19","7","22","75","38.4","10.8","47.0","+12.0"
"36","Christian McCaffrey","CAR","RB14","11","17","63","39.8","13.2","29.0","-7.0"
"37","Larry Fitzgerald","ARI","WR20","8","18","102","40.1","13.2","49.0","+12.0"
"38","Davante Adams","GB","WR21","8","16","76","40.4","13.9","38.0","0.0"
"39","Michael Crabtree","OAK","WR22","10","27","82","41.0","11.0","41.0","+2.0"
"40","Tom Brady","NE","QB2","9","27","71","40.6","6.8","33.0","-7.0"
"41","Ty Montgomery","GB","RB15","8","15","163","42.8","18.6","43.0","+2.0"
"42","Marshawn Lynch","OAK","RB16","10","22","113","44.4","18.7","35.0","-7.0"
"43","Carlos Hyde","SF","RB17","11","22","72","44.6","11.7","44.0","+1.0"
"44","Dalvin Cook","MIN","RB18","9","11","105","45.9","18.5","40.0","-4.0"
"45","Jarvis Landry","MIA","WR23","11","24","76","46.1","13.6","42.0","-3.0"
"46","Greg Olsen","CAR","TE3","11","32","74","47.9","6.6","48.0","+2.0"
"47","Joe Mixon","CIN","RB19","6","16","96","48.5","16.8","39.0","-8.0"
"48","Drew Brees","NO","QB3","5","35","64","47.4","5.8","45.0","-3.0"
